Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,buy_7d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,125.31%,"$282,554.37","$599,482.22",78.57%,78.26%,[],2197.70,https://gmgn.ai/sol/address/4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,55,0,0,8,22,5,2,12
EdDCRfDDeiiDXdntrP59abH4DXHFNU48zpMPYisDMjA7,-2.11%,"$12,952.51","$27,859.11",92.31%,83.02%,[],31.00,https://gmgn.ai/sol/address/EdDCRfDDeiiDXdntrP59abH4DXHFNU48zpMPYisDMjA7,21,0,0,26,21,2,1,0
831qmkeGhfL8YpcXuhrug6nHj1YdK3aXMDQUCo85Auh1,194.24%,"$24,137.43","$227,531.79",84.78%,81.20%,[],196.96,https://gmgn.ai/sol/address/831qmkeGhfL8YpcXuhrug6nHj1YdK3aXMDQUCo85Auh1,44,0,0,0,21,18,0,11
3kebnKw7cPdSkLRfiMEALyZJGZ4wdiSRvmoN4rD1yPzV,17.83%,"$31,255.19","$115,069.63",57.14%,73.67%,[],188.40,https://gmgn.ai/sol/address/3kebnKw7cPdSkLRfiMEALyZJGZ4wdiSRvmoN4rD1yPzV,130,0,0,24,16,4,1,5
9Wf2Gbo6ZnbJpXrwm1TTPpULHZz59uPZaszTsECE9PRb,20.11%,"$52,836.79","$163,284.98",54.32%,56.62%,[],0.18,https://gmgn.ai/sol/address/9Wf2Gbo6ZnbJpXrwm1TTPpULHZz59uPZaszTsECE9PRb,271,0,0,3,28,12,2,5
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,33.60%,"$448,372.38","$998,577.63",96.25%,92.86%,[],1116.39,https://gmgn.ai/sol/address/DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,168,0,0,0,4,17,6,23
