Identifier,totalProfitPercent,7dUSDProfit,30dUSDProfit,winrate_7d,winrate_30d,tags,sol_balance,directLink,token_num_7d,token_num_30d,pnl_7d,pnl_30d,-50% +,0% - -50%,0 - 50%,50% - 199%,200% - 499%,500% - 600%,600% +
4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,125.31%,"$282,554.37","$599,482.22",78.57%,78.26%,[],2197.70,https://gmgn.ai/sol/address/4Be9CvxqHW6BYiRAxW9Q3xu1ycTMWaL5z8NX4HR3ha7t,180,257,308.37%,111.12%,0,0,8,22,5,2,12
831qmkeGhfL8YpcXuhrug6nHj1YdK3aXMDQUCo85Auh1,194.24%,"$24,137.43","$227,531.79",84.78%,81.20%,[],196.96,https://gmgn.ai/sol/address/831qmkeGhfL8YpcXuhrug6nHj1YdK3aXMDQUCo85Auh1,72,299,107.15%,154.27%,0,0,0,21,18,0,11
DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,33.80%,"$456,937.50","$1,007,142.76",96.25%,92.86%,[],1155.09,https://gmgn.ai/sol/address/DNfuF1L62WWyW3pNakVkyGGFzVVhj4Yr52jSmdTyeBHm,248,500,392.12%,288.76%,0,0,0,4,17,6,23
